month,count
2001-01-01,38129
2001-02-01,33790
2001-03-01,40576
2001-04-01,40100
2001-05-01,41847
2001-06-01,41743
2001-07-01,44706
2001-08-01,44049
2001-09-01,41521
2001-10-01,43039
2001-11-01,39613
2001-12-01,36853
2002-01-01,38426
2002-02-01,33908
2002-03-01,38591
2002-04-01,40041
2002-05-01,42916
2002-06-01,42841
2002-07-01,46015
2002-08-01,44218
2002-09-01,42393
2002-10-01,43150
2002-11-01,37157
2002-12-01,37180
2003-01-01,36731
2003-02-01,32511
2003-03-01,38652
2003-04-01,39790
2003-05-01,41198
2003-06-01,40822
2003-07-01,43421
2003-08-01,44272
2003-09-01,41427
2003-10-01,43330
2003-11-01,38057
2003-12-01,35793
2004-01-01,35116
2004-02-01,34071
2004-03-01,39860
2004-04-01,38272
2004-05-01,40784
2004-06-01,41137
2004-07-01,43242
2004-08-01,43049
2004-09-01,41216
2004-10-01,41530
2004-11-01,36843
2004-12-01,34324
2005-01-01,33883
2005-02-01,31990
2005-03-01,36907
2005-04-01,38872
2005-05-01,40477
2005-06-01,40059
2005-07-01,41813
2005-08-01,41544
2005-09-01,39631
2005-10-01,39961
2005-11-01,35984
2005-12-01,32671
2006-01-01,36775
2006-02-01,31302
2006-03-01,36984
2006-04-01,36481
2006-05-01,39619
2006-06-01,38825
2006-07-01,41555
2006-08-01,40499
2006-09-01,37777
2006-10-01,38666
2006-11-01,35572
2006-12-01,34147
2007-01-01,34131
2007-02-01,27139
2007-03-01,36357
2007-04-01,35641
2007-05-01,40094
2007-06-01,38997
2007-07-01,40996
2007-08-01,39850
2007-09-01,38268
2007-10-01,39600
2007-11-01,34427
2007-12-01,31610
2008-01-01,33416
2008-02-01,29053
2008-03-01,33988
2008-04-01,35602
2008-05-01,38068
2008-06-01,37709
2008-07-01,40500
2008-08-01,40546
2008-09-01,37459
2008-10-01,37895
2008-11-01,33565
2008-12-01,29423
2009-01-01,30275
2009-02-01,28243
2009-03-01,33693
2009-04-01,32576
2009-05-01,35249
2009-06-01,34288
2009-07-01,35683
2009-08-01,35835
2009-09-01,33876
2009-10-01,33548
2009-11-01,31406
2009-12-01,28196
2010-01-01,29279
2010-02-01,24959
2010-03-01,32347
2010-04-01,31678
2010-05-01,33415
2010-06-01,32739
2010-07-01,33515
2010-08-01,34165
2010-09-01,31912
2010-10-01,32404
2010-11-01,28903
2010-12-01,25256
2011-01-01,27242
2011-02-01,22246
2011-03-01,28705
2011-04-01,29119
2011-05-01,31604
2011-06-01,32333
2011-07-01,33265
2011-08-01,32609
2011-09-01,29948
2011-10-01,30295
2011-11-01,27662
2011-12-01,27035
2012-01-01,26344
2012-02-01,23895
2012-03-01,28584
2012-04-01,27197
2012-05-01,30116
2012-06-01,31106
2012-07-01,31988
2012-08-01,30069
2012-09-01,27789
2012-10-01,27998
2012-11-01,26052
2012-12-01,25246
2013-01-01,25575
2013-02-01,21430
2013-03-01,25000
2013-04-01,25547
2013-05-01,28027
2013-06-01,27404
2013-07-01,28648
2013-08-01,28679
2013-09-01,26363
2013-10-01,25495
2013-11-01,23578
2013-12-01,21880
2014-01-01,20106
2014-02-01,18055
2014-03-01,22205
2014-04-01,22946
2014-05-01,24895
2014-06-01,25468
2014-07-01,26587
2014-08-01,25910
2014-09-01,23912
2014-10-01,24015
2014-11-01,20785
2014-12-01,20998
2015-01-01,21020
2015-02-01,16410
2015-03-01,21693
2015-04-01,21747
2015-05-01,23731
2015-06-01,23198
2015-07-01,24249
2015-08-01,24832
2015-09-01,23141
2015-10-01,23116
2015-11-01,20606
2015-12-01,21157
2016-01-01,20806
2016-02-01,18763
2016-03-01,22075
2016-04-01,21193
2016-05-01,23567
2016-06-01,24098
2016-07-01,24872
2016-08-01,24942
2016-09-01,23712
2016-10-01,23782
2016-11-01,21767
2016-12-01,20410
2017-01-01,22234
2017-02-01,19329
2017-03-01,20600
2017-04-01,21721
2017-05-01,23409
2017-06-01,23890
2017-07-01,24889
2017-08-01,24763
2017-09-01,22872
2017-10-01,22955
2017-11-01,21523
2017-12-01,21130
2018-01-01,20627
2018-02-01,17390
2018-03-01,21282
2018-04-01,21178
2018-05-01,24776
2018-06-01,24290
2018-07-01,25307
2018-08-01,25517
2018-09-01,23151
2018-10-01,22879
2018-11-01,20726
2018-12-01,22047
2019-01-01,19846
2019-02-01,18465
2019-03-01,20481
2019-04-01,21061
2019-05-01,23707
2019-06-01,23661
2019-07-01,24904
2019-08-01,24472
2019-09-01,22514
2019-10-01,21754
2019-11-01,20006
2019-12-01,20850
2020-01-01,20089
2020-02-01,18226
2020-03-01,16794
2020-04-01,12958
2020-05-01,17640
2020-06-01,17716
2020-07-01,19690
2020-08-01,19955
2020-09-01,17989
2020-10-01,18478
2020-11-01,16673
2020-12-01,16549
2021-01-01,16312
2021-02-01,13159
2021-03-01,16211
2021-04-01,15708
2021-05-01,17888
2021-06-01,18901
2021-07-01,19307
2021-08-01,18635
2021-09-01,19299
2021-10-01,19421
2021-11-01,17490
2021-12-01,17387
2022-01-01,15778
2022-02-01,15295
2022-03-01,18446
2022-04-01,18086
2022-05-01,20230
2022-06-01,20871
2022-07-01,22362
2022-08-01,22405
2022-09-01,22441
2022-10-01,23296
2022-11-01,20890
2022-12-01,20010
2023-01-01,21346
2023-02-01,18493
2023-03-01,20814
2023-04-01,20814
2023-05-01,22292
2023-06-01,22771
2023-07-01,24069
2023-08-01,24242
2023-09-01,22658
2023-10-01,23106
2023-11-01,21439
2023-12-01,21333
2024-01-01,19659
2024-02-01,19950
2024-03-01,20917
2024-04-01,20494
2024-05-01,22997
2024-06-01,23209
2024-07-01,24103
2024-08-01,23007
2024-09-01,22988
2024-10-01,22496
2024-11-01,19736
2024-12-01,19613
2025-01-01,18520
2025-02-01,16544
2025-03-01,19787
2025-04-01,19671
2025-05-01,20510
2025-06-01,21122
2025-07-01,22665
2025-08-01,21335
2025-09-01,20355
2025-10-01,20992
2025-11-01,18422
2025-12-01,17507
2026-01-01,16903
2026-02-01,16460
2026-03-01,19004
2026-04-01,18952
2026-05-01,20700
