district,lat,lon,y2019,y2020,y2022,pct_20,pct_rec
001,41.8722,-87.6288,15314,8428,13113,-44.965391145357195,55.58851447555766
002,41.8104,-87.6123,11278,9557,11846,-15.259797836495837,23.951030658156334
003,41.7712,-87.5965,12534,11067,11969,-11.70416467209191,8.150356916960334
004,41.7338,-87.5637,14087,12359,14017,-12.266628806701219,13.415324864471234
005,41.6874,-87.6226,11396,10296,9841,-9.652509652509655,-4.419191919191922
006,41.7455,-87.6323,16918,14141,14765,-16.4144697954841,4.4127006576621275
007,41.7756,-87.6535,13757,11803,10350,-14.203678127498732,-12.310429551808866
008,41.7783,-87.7159,15750,13214,14878,-16.101587301587305,12.59270470712881
009,41.8155,-87.665,11045,9308,10416,-15.726573110004527,11.903738719381174
010,41.8535,-87.7126,12517,10139,10036,-18.99816249900136,-1.0158792780353143
011,41.8823,-87.7192,18747,15089,13532,-19.512455326185517,-10.318775266750613
012,41.8803,-87.6713,13204,10223,14420,-22.576491972129652,41.054484984838105
014,41.9165,-87.6931,9300,6681,8194,-28.161290322580644,22.646310432569972
015,41.8861,-87.7583,10027,8933,8339,-10.910541537847806,-6.649501847083849
016,41.9652,-87.7975,8327,7600,9280,-8.730635282814935,22.10526315789474
017,41.9604,-87.7207,6771,6062,7024,-10.471126864569491,15.869350049488617
018,41.9023,-87.6352,15184,8888,12496,-41.46469968387777,40.594059405940584
019,41.9476,-87.6599,11854,9449,12321,-20.28851020752489,30.394750767276957
020,41.9785,-87.6718,4396,4107,4990,-6.574158325750679,21.499878256635018
022,41.7087,-87.6587,8281,7198,7724,-13.078130660548249,7.307585440400111
024,42.0057,-87.6775,8038,6855,8511,-14.717591440656886,24.157549234135665
025,41.9192,-87.7525,12989,11356,12019,-12.572176457002083,5.838323353293418
