horizon,feature,mean_abs_shap
1,count,5.157420635223389
1,lag_1,0.8459287881851196
1,lag_2,0.6974895000457764
1,lag_3,0.8428976535797119
1,lag_4,1.2505016326904297
1,lag_8,0.8471350073814392
1,lag_12,2.6049821376800537
1,lag_52,1.7522101402282715
1,rmean_4,25.80019187927246
1,rmean_8,12.470829010009766
1,rmean_12,4.305408000946045
1,rstd_4,0.8016209006309509
1,rstd_8,0.6954132318496704
1,rstd_12,0.9182949066162109
1,month,1.9226243495941162
1,weekofyear,5.1292829513549805
1,is_holiday_week,0.7889004945755005
1,is_covid,0.8729104399681091
1,district_code,0.9259982705116272
4,count,3.6416285037994385
4,lag_1,1.1814566850662231
4,lag_2,1.2237852811813354
4,lag_3,1.0417560338974
4,lag_4,1.011965036392212
4,lag_8,1.199508786201477
4,lag_12,1.0648562908172607
4,lag_52,2.7800092697143555
4,rmean_4,24.408443450927734
4,rmean_8,11.448516845703125
4,rmean_12,6.587652683258057
4,rstd_4,0.9950361251831055
4,rstd_8,0.985377848148346
4,rstd_12,1.0880681276321411
4,month,3.9008240699768066
4,weekofyear,7.47586727142334
4,is_holiday_week,0.3103877305984497
4,is_covid,1.3372325897216797
4,district_code,1.6428720951080322
8,count,2.088296413421631
8,lag_1,1.0642571449279785
8,lag_2,0.920547604560852
8,lag_3,1.6873087882995605
8,lag_4,0.7006511092185974
8,lag_8,0.9303101897239685
8,lag_12,2.5018153190612793
8,lag_52,2.3946385383605957
8,rmean_4,17.06559181213379
8,rmean_8,15.393177032470703
8,rmean_12,9.670292854309082
8,rstd_4,0.8969982862472534
8,rstd_8,1.1369404792785645
8,rstd_12,1.315993309020996
8,month,7.75914192199707
8,weekofyear,9.524948120117188
8,is_holiday_week,0.5426405668258667
8,is_covid,1.0878397226333618
8,district_code,2.1698625087738037
12,count,3.6182212829589844
12,lag_1,2.36311674118042
12,lag_2,0.7483923435211182
12,lag_3,0.9770541191101074
12,lag_4,0.9174863696098328
12,lag_8,1.219762921333313
12,lag_12,2.9789481163024902
12,lag_52,1.803500771522522
12,rmean_4,18.48250961303711
12,rmean_8,10.19216251373291
12,rmean_12,9.741753578186035
12,rstd_4,1.1157686710357666
12,rstd_8,1.2607640027999878
12,rstd_12,1.9209368228912354
12,month,12.115224838256836
12,weekofyear,9.559181213378906
12,is_holiday_week,0.1828959733247757
12,is_covid,0.6008597016334534
12,district_code,2.5535924434661865
